title,rating,body,author,date,processed_body
Regalo,"5,0 de 5 estrellas",Me gustó mucho,Cliente Amazon,Revisado en España el 6 de abril de 2024,gustó
No ha durado ni la garantía + pésimo servicio postventa,"1,0 de 5 estrellas","Ni los 24 meses de garantía ha durado, y al enviarla a Create han dicho que se ha estropeado por mal mantenimiento, cuando se ha usado con agua filtrada desde el primer día
No ofrecen reparación, ni reemplazo, ni reembolso, 0 proactividad de cara al cliente
Primer y último producto que les compro",MaX,Revisado en España el 3 de abril de 2024,garantía durado enviarla create dicho estropeado mal mantenimiento usado filtrada primer día ofrecen reparación reemplazo reembolso proactividad cara cliente primer último producto compro
Está bien,"3,0 de 5 estrellas","Después de más de dos meses usándola hace muy buen café, pero me parece que los materiales de la cafetera son malos muy plasticucha Y no sé el tiempo que durará la cafetera, pero para el valor que tiene podría tener unos materiales mejor. Por lo demás, muy muy bien hace un café estupendo",Lorena,Revisado en España el 14 de marzo de 2024,después usándola buen parece materiales malos plasticucha sé tiempo durará valor podría tener materiales mejor demás estupendo
Perfecta!,"5,0 de 5 estrellas","Me encanta! Soy adicta al café y me gusta tomarme un buen espresso espumoso y cargado de sabor. Antes de comprar este modelo, tenía el modelo anterior sin el acabado de madera. Y ha funcionado perfectamente durante 4 años. Luego ha empezado a tener fallos de presión y he decidido cambiar a una cafetera carísima de Delonghi dedica arte y es que no merecía la pena. Hacía el café menos intenso y el espumador de leche no servía para nada, porque dejaba la leche igual de líquida y sin espuma.He vuelto a CREATE porque a parte de tener un diseño tan precioso, hace un café maravilloso y el espumador de leche es una maravilla. Y todo eso por un precio tan reducido, que no hace falta pagar cientos de euros por una cafetera que va a dar un resultado parecido. Lo recomiendo 100%. Espero q esta, con el uso y el cuidado adecuado, dure más de 4 años",Perfecta!,Revisado en España el 22 de febrero de 2024,encanta adicta gusta tomarme buen espresso espumoso cargado sabor comprar modelo modelo anterior acabado madera funcionado perfectamente años luego empezado tener fallos presión decidido cambiar carísima delonghi dedica arte merecía pena hacía menos intenso espumador servía dejaba igual líquida vuelto create parte tener diseño tan precioso maravilloso espumador maravilla precio tan reducido falta pagar cientos euro va dar resultado parecido recomiendo espero q uso cuidado adecuado dure años
EXCELENTE,"5,0 de 5 estrellas",como única pega que limpiar el palito del vapor/calientaleche es un fastidio,Sil at,Revisado en España el 20 de febrero de 2024,única pega limpiar palito fastidio
Un valle realmente bueno por el precio relativamente bajo.,"5,0 de 5 estrellas",Un valle realmente bueno por el precio relativamente bajo.,Sylvie O'Connell,Revisado en España el 5 de febrero de 2024,valle realmente bueno precio relativamente bajo
Magnífica cafetera (café con espuma consistente ) y extraordinario servicio de atención al cliente.,"5,0 de 5 estrellas",Uno de los pilotos no se encendía. Me puse en contacto con ellos y organizaron la devolución sin ningún problema o coste. Mientras compramos otra igual en su página web. Muy buen producto a un precio inigualable.,Alfonso,Revisado en España el 30 de enero de 2024,pilotos encendía puse contacto organizaron devolución ningún problema coste mientras compramos igual página web buen producto precio inigualable
Muy linda y buena pero fragil,"4,0 de 5 estrellas","La cafetera es muy linda, el estilo es muy chulo y fácil de usar, el unico inconveniente es que es de plastico muy fragil, siempre al poner el cafe hay que tener mucho cuidado porque a la menor fuerza se mueve toda la maquina.",Alexis Vaquero,Revisado en España el 23 de enero de 2024,linda estilo chulo fácil usar unico inconveniente plastico fragil siempre poner tener cuidado menor fuerza mueve toda maquina
Precioso diseño y buen funcionamiento a buen precio,"5,0 de 5 estrellas","Si quieres una cafetera sin complicaciones, bonita y a buen precio, esta es una opción genial. El diseño ""retro"" es precioso y el funcionamiento sencillo. Aunque abunda el plástico, se ve robusta. Yo la conseguí de oferta y, la verdad, estoy encantando. No he probado el vaporizador, pero el café sale muy bueno, aunque claro, eso ya depende del tipo de café que le pongas. Una gran compra.",Hank Solo,Revisado en España el 22 de enero de 2024,quieres complicaciones bonita buen precio opción genial diseño retro precioso funcionamiento sencillo aunque abunda plástico ve robusta conseguí oferta verdad encantando probado vaporizador sale bueno aunque claro depende tipo pongas gran compra
Buena cafetera de gama baja,"5,0 de 5 estrellas",La famosa cafetera Delonghi creo que se han subido a la parra. Demasiado cara para ser gama baja. Este producto en cambio guarda una buena calidad precio y el resultado es más que aceptable. Me la habían recomendado y creo que es un acierto.,Fernanrouse,Revisado en España el 15 de enero de 2024,famosa delonghi creo subido parra demasiado cara ser gama baja producto cambio guarda calidad precio resultado aceptable recomendado creo acierto
Ya no tiene presión,"2,0 de 5 estrellas","Al principio funcionaba bien (menos el vaporizador que solo quema la leche y es tan complicado de limpiar que no lo utilizaba)
Pero después de 2 años ya no tiene presión, tarda más de 5 minutos en llenar media taza de café, y para cuando la ha llenado el café ya está frío… no volvería a comprarla.
Ahora me voy a comprar una que te has mayor presión y calidad, aunque sea más cara",Patri Maison,Revisado en España el 8 de enero de 2024,principio funcionaba menos vaporizador solo quema tan complicado limpiar utilizaba después años presión tarda minutos llenar medium taza llenado volvería comprarla ahora voy comprar mayor presión calidad aunque cara
Estupenda cafetera,"5,0 de 5 estrellas",Café buenísimo fácil de usar,María Elena,Revisado en España el 4 de enero de 2024,buenísimo fácil usar
Rico,"5,0 de 5 estrellas",De momento bién café delicioso,Gverban,Revisado en España el 28 de diciembre de 2023,momento bién delicioso
Bien,"5,0 de 5 estrellas",Hace muy bueno el café ☕ funciona perfectamente,juan luis,Revisado en España el 27 de diciembre de 2023,bueno funciona perfectamente
Ha llegado roto,"1,0 de 5 estrellas",Ha llegado roto,Cliente Amazon,Revisado en España el 25 de diciembre de 2023,llegado roto
LA PEOR CAFETERA DEL MUNDO,"1,0 de 5 estrellas","La compre hace tan solo unos meses, y me he arrepentido totalmente. Sobre todo porque es una cafetera bastante cara para lo que realmente es.
En tan solo unos meses se descascarado la pintura en varias partes, ya nunca llega a la presión para soltar vapor y siempre tienes que esperar un buen rato para abrir la maneta porque sino echa todo fuera.

De verdad, es patético que cobren tanto por una cafetera que parece del chino.

Para la marca: No solo vale la belleza, también importa la calidad del material.",Emmanuel Etchart,Revisado en España el 20 de diciembre de 2023,compre tan solo arrepentido totalmente bastante cara realmente tan solo descascarado pintura varias partes nunca llega presión soltar vapor siempre esperar buen rato abrir maneta sino echa verdad patético cobren parece chino marca solo vale belleza importa calidad material
Hace nuy buen café,"5,0 de 5 estrellas","Hace muy buen cafe, el material de plástico invluso regilla no me convencen mucho. Y los botones sobre todo el de vapor ay que esoerar alcance temperatura por lo demas estupenda calidad precio y made in Valencia, bravo 👏",NOE,Revisado en España el 15 de diciembre de 2023,buen material plástico invluso regilla convencen botones vapor ay esoerar alcance temperatura demas estupenda calidad precio made in valencia bravo
Lo bueno que hace el cafe,"5,0 de 5 estrellas","Me encanta desde el diseño hasta su funcionamiento , todo de 10",Café exquisito con su crema,Revisado en España el 3 de diciembre de 2023,encanta diseño funcionamiento
Perfecto,"5,0 de 5 estrellas","Después de un par de meses de uso puedo decir que magnífica,hace un café muy rico,calienta la leche muy bien",Balma,Revisado en España el 3 de diciembre de 2023,después par uso puedo decir magnífica rico calienta
MARAVILLOSA,"5,0 de 5 estrellas","Excelente calidad, muy bonita y funciona genial, café con crema perfecta, me encanta después de probar varias esta es la mejor compra!!",Elena Valiente Velázquez,Revisado en España el 29 de noviembre de 2023,excelente calidad bonita funciona genial crema perfecta encanta después probar varias mejor compra
Hace un cafè muy Bueno .,"4,0 de 5 estrellas",Si la temperatura es demasiado alta cosa que se consigue con el vaporizador.. el cafè sale por fuera del cacíllo.. si la temperatura és adequada hace un café buenísimo i és preciosa,Xavier B.,Revisado en España el 27 de noviembre de 2023,temperatura demasiado alta cosa consigue vaporizador cafè sale cacíllo temperatura és adequada buenísimo i és preciosa
Me encanta,"5,0 de 5 estrellas","Saca un café buenísimo,hace 3 meses UE la tengo y estoy encantada",Cliente Amazon,Revisado en España el 27 de noviembre de 2023,saca buenísimo ue encantada
Buen producto,"5,0 de 5 estrellas","La cafetera es muy bonita y hace un café muy bueno, cremoso y con muy buen sabor. Las tazas que hay que usar deber ser bajas porque hay poco altura entre la bandeja y el filtro pero con tazas de tamaño pequeño o mediano no hay problema. Estéticamente combina muy bien con mi cocina y los detalles de imitación de madera le dan un toque muy bonito.",Beardad74,Revisado en España el 18 de noviembre de 2023,bonita bueno cremoso buen sabor tazas usar deber ser bajas altura bandeja filtro tazas tamaño pequeño mediano problema estéticamente combina cocina detalles imitación madera dan toque bonito
Rota a los 2 meses,"1,0 de 5 estrellas","Cafetera de mala calidad. Deja de alcanzar la temperatura y hace imposible hacer café. Deja de poderse espumar la leche. En definitiva, un desastre. Mi recomendación, no comprar",Nicolás De Miguel Rubio,Revisado en España el 9 de noviembre de 2023,mala calidad deja alcanzar temperatura imposible hacer deja poderse espumar definitiva desastre recomendación comprar
Recomendable 100%,"5,0 de 5 estrellas","Después de leer varias opiniones y características de de otras cafeteras y esta, nos decidimos por este modelo.
Y fue un acierto, sencilla de usar y el color rojo queda muy bonito",Juan Carlos Domínguez Hernández,Revisado en España el 4 de noviembre de 2023,después leer varias opiniones características cafeteras decidimos modelo acierto sencilla usar color rojo queda bonito
Adecuado,"5,0 de 5 estrellas","Funciona bien, el cafe sale rico y por ese precio el diseño es espectacular",Jon ander,Revisado en España el 2 de noviembre de 2023,funciona sale rico precio diseño espectacular
"Diseño bonito, café regular","3,0 de 5 estrellas",El diseño es precioso pero la cafetera no me ha encantado en funcionamiento. Por ese precio hay cafeteras mejores en el mercado,Violeta,Revisado en España el 21 de octubre de 2023,diseño precioso encantado funcionamiento precio cafeteras mejores mercado
10/10,"5,0 de 5 estrellas",Me la regaló mi mujer y me encanta. El color es precioso y va genial.,Eric Verde,Revisado en España el 21 de octubre de 2023,regaló mujer encanta color precioso va genial
Me ha llegado el deposito del agua roto necesito se ponga con contacto conmigo el vendedor.,"1,0 de 5 estrellas",Play Video,Sandry,Revisado en España el 19 de octubre de 2023,play video
Aceptable,"4,0 de 5 estrellas","Hace un café bueno, lo malo el plástico del reposa tazas",Otto,Revisado en España el 1 de octubre de 2023,bueno malo plástico reposa tazas
No es como la foto,"4,0 de 5 estrellas",La compré para mi hija hace ya un par de meses y se lo he dado por su cumpleaños hoy y no es como lo esperaba. No tiene la madera que se ve en las fotos.,Ali,Revisado en España el 26 de septiembre de 2023,compré hija par dado cumpleaños hoy esperaba madera ve fotos
nos gusta a todos,"4,0 de 5 estrellas","cuando la recibi me desilusiono tanto plastico, el color me encanto, pero funciona perfectamente y al cabo de los meses creo cada dia hace cafes con mas espuma nos gusta a toda la familia",M C.,Revisado en España el 25 de septiembre de 2023,recibi desilusiono plastico color encanto funciona perfectamente cabo creo cada dia ma espuma gusta toda familia
Perfecto,"4,0 de 5 estrellas",Recomendable 100 x 100,Oscar,Revisado en España el 22 de septiembre de 2023,recomendable x
Bonito diseño,"4,0 de 5 estrellas","Esabamos indecisos de comprar la cafetera al ver algunas reseñas diciendo que no tenía buena calidad y el café salia con sabor a plástico, pero nada que ver, el diseño es muy bonito, si es verdad que no es de metal, pero está muy bien, el café tanto en monodosis como express tiene muy buen sabor, la volveriamos a comprar.",Fernando,Revisado en España el 12 de septiembre de 2023,esabamos indecisos comprar ver reseñas diciendo calidad salia sabor plástico ver diseño bonito verdad metal monodosis express buen sabor volveriamos comprar
Buena compra,"5,0 de 5 estrellas","Muy bonita de diseño, preciosa, hace un buen café. Más caras que otras del estilo pero con ese diseño tan bonito merece la pena. Buen café y puesta en la cocina queda espectacular",juan antonio,Revisado en España el 8 de septiembre de 2023,bonita diseño preciosa buen caras estilo diseño tan bonito merece pena buen puesta cocina queda espectacular
Hace buen café.,"4,0 de 5 estrellas","Es fácil se manejar y el café que hace está buenísimo. El diseño es espectacular, pero no le pongo las 5 estrellas porque se quedan las manchas d gotas de café en el frontal y ya no se quitan con nada. Con un vinilo color madera se arregla, pero estaría bien poder limpiarlo.",Rebeca Muñoz Curiel,Revisado en España el 7 de septiembre de 2023,fácil manejar buenísimo diseño espectacular pongo estrellas quedan manchas d gotas frontal quitan vinilo color madera arregla poder limpiarlo
De momento bien,"5,0 de 5 estrellas","Funciona bien, por el precio no se puede decir mucho. Lo que he notado es:

- Tarda un poquito en calentarse, sobre todo para el vapor, pero nada del otro mundo.
- El tubo de vapor es algo difícil de limpiar
- La calidad es estándar, decente para el bajo precio.
- Es como la foto, muy bonita.
- Hace café con buena crema.

Veremos cuánto dura y el servicio posventa.",Javi,Revisado en España el 5 de septiembre de 2023,funciona precio puede decir notado tarda poquito calentarse vapor mundo tubo vapor difícil limpiar calidad estándar decente bajo precio foto bonita crema veremos cuánto dura servicio posventa
Muy buen café,"5,0 de 5 estrellas","Hace muy buen café, fantásticos expresos con su crema... y también funciona con cápsulas ESE, más baratas y ecológicas que las de Nespresso...",Cliente Amazon,Revisado en España el 5 de septiembre de 2023,buen fantásticos expresos crema funciona cápsulas baratas ecológicas nespresso
Bonita,"5,0 de 5 estrellas","Envío rápido a portugal , entrega 📦 perfecta. El color súper bien y funciona excelente.",jhonny carrillo,Revisado en España el 3 de septiembre de 2023,envío rápido portugal entrega perfecta color súper funciona excelente
Excelente,"5,0 de 5 estrellas",Fácil de utilizar y hace un café buenísimo,Natalia,Revisado en España el 27 de agosto de 2023,fácil utilizar buenísimo
Muy útil,"4,0 de 5 estrellas",La cafetera es muy útil porque te permite hacer el expresso y las cápsulas. Es muy bonita pero los materieles no paracen muy buenos.,Buen producto,Revisado en España el 23 de agosto de 2023,útil permite hacer expresso cápsulas bonita materieles paracen buenos
Funciona y bonita.,"4,0 de 5 estrellas",El café sale bastante bien. Es pequeña y decorativa. Recomendada para los amantes del café. Relación calidad precio 100 % Estoy viciada al café.,Clairet Reyes,Revisado en España el 20 de agosto de 2023,sale bastante pequeña decorativa recomendada amantes relación calidad precio viciada
No les gustó,"1,0 de 5 estrellas",No les gustó el color y además no parece de muy buena calidad... Una cafetera de juguete..,Javi A.,Revisado en España el 18 de agosto de 2023,gustó color además parece calidad juguete
"Maquina preciosa, servicio post venta malo","1,0 de 5 estrellas","La máquina era muy bonita, desgraciadamente la devolví porque perdía agua del depósito.
Servicio post venta, malisimo a 10 dias y aun no me han dado el reembolso, ni contestan.

Edito: reembolso conseguido 17 dias despues de la devolucion. Casualmente respondieron que hacían el reembolso mismo dia que puse reseña negativa. Casualidad? :/",Alex,Revisado en España el 11 de agosto de 2023,bonita desgraciadamente devolví perdía depósito servicio post venta malisimo dia aun dado reembolso contestan edito reembolso conseguido dia despues devolucion casualmente respondieron hacían reembolso mismo dia puse reseña negativa casualidad
Mejor como vibrador que como cafetera.,"2,0 de 5 estrellas",Malas calidades. 100% plástico. Ruidosa a morir y si no la abrazas tiembla hasta el enchufe.,"Es bonita, eso es innegable, pero como cafetera es mala con ganas.100% plástico, vibra más que el escape de una Variant así que si no vigilas la taza es probable que termine en el suelo y si trabajas de mañana olvídate de desayunar a menos que no tengas vecinos en 3 km a la redonda pq suena como una zona de obras un Lunes a las 10 de la mañana. Los filtros filtran, pero tampoco demasiado, cada vez que los vacies encontrarás agua dentro. El vaporizador es básicamente de chiste y consume casi la mitad del depósito para 1 café. Pero bonita? Bonita es un ratp",Revisado en España el 10 de agosto de 2023,malas calidades plástico ruidosa morir abrazas tiembla enchufe
"Cumple su funcion, funciona bien","4,0 de 5 estrellas","Las instrucciones son bastante limitadas, en ningun sitio habla de como usat las capsulas ESE",Xavi,Revisado en España el 31 de julio de 2023,instrucciones bastante limitadas ningun sitio habla usat capsulas
Buen café,"5,0 de 5 estrellas",Hace un café muy rico y con espuma,LAURA,Revisado en España el 31 de julio de 2023,rico espuma
A los 2 meses dejo de ir bien el vaporizador de leche y Amazon no responde a la garantia,"1,0 de 5 estrellas",A los 2 meses dejo de ir bien el vaporizador de leche y Amazon no responde a la garantia,Norman,Revisado en España el 29 de julio de 2023,dejo ir vaporizador responde garantia
En uso,"5,0 de 5 estrellas",Uso la máquina más de dos años. Funciona perfecto,Velin Shibilev,Revisado en España el 27 de julio de 2023,uso años funciona perfecto
Me encanta 💖,"5,0 de 5 estrellas",Me gusta su color Me trasmite paz y cumple su función,Erika Rodríguez Salvador,Revisado en España el 27 de julio de 2023,gusta color trasmite paz cumple función
Preciosa estética y magnífico café.,"5,0 de 5 estrellas","Es como tener una cafetería en casa, con un filtro para dos tazas y otro para una. Se saca mucho rendimiento de los botes de café de gran calidad en el mercado. Sin embargo, para que las monodosis ese salgan bien, hay que rasgar el papel y verter el contenido en el filtro pequeño de café.",Cliente Amazon,Revisado en España el 19 de julio de 2023,tener cafetería casa filtro tazas saca rendimiento botes gran calidad mercado embargo monodosis salgan rasgar papel verter contenido filtro pequeño
Diseño - Espuma,"5,0 de 5 estrellas","El producto a parte de bonito, es práctico.
No sabe para nada a plástico ni siquiera el primer café que es el del vídeo. Tenía miedo de adquirirla por algún comentario hablando del sabor a plástico.
Hice la limpieza tal cual las instrucciones y a parte, lavé el depósito de agua con jabón y lo enjuagué muy bien.
Me gusta poder utilizarlo con café molido y con cápsulas.
Muy contenta con la compra.
No sé cómo irá la opción de calentar la leche o hacer capuchino.",Curea Mili Mihaita,Revisado en España el 17 de julio de 2023,producto parte bonito práctico sabe plástico siquiera primer vídeo miedo adquirirla algún comentario hablando sabor plástico hice limpieza tal instrucciones parte lavé depósito jabón enjuagué gusta poder utilizarlo molido cápsulas contenta compra sé cómo irá opción calentar hacer capuchino
Buen café,"5,0 de 5 estrellas",Me la compré porque me la recomendó una amiga. Leí las reseñas y algunas mencionaban algo sobre un sabor a plástico. La verdad es que si se limpia tal y como indican las instrucciones no hay ningún problema ni sabor raro. La recomiendo,Cliente Amazon,Revisado en España el 9 de julio de 2023,compré recomendó amiga leí reseñas mencionaban sabor plástico verdad limpia tal indican instrucciones ningún problema sabor raro recomiendo
Muy bonita,"5,0 de 5 estrellas","La cafetera esta muy bien, tiene una estética muy bonita aunque muchos acabados son de plástico. Tampoco podemos pedir mucho ya que una cafetera vintage a este precio está muy bien. Al espumador no le he cogido el punto todavía pero poco a poco 🤣",Lena Gnz,Revisado en España el 12 de junio de 2023,estética bonita aunque acabados plástico tampoco podemos pedir vintage precio espumador cogido punto todavía
Buen café,"4,0 de 5 estrellas","Café con espuma y funciona genial, es la segunda que tengo. No le doy 5⭐ porque en ese color la base queda teñida por el café. (Aunque no se ve siempre porque está encima la rejilla.",cristina Baigorri,Revisado en España el 6 de junio de 2023,espuma funciona genial segunda doy color base queda teñida aunque ve siempre encima rejilla
Estoy viciada a lo bueno que sale el café,"4,0 de 5 estrellas","Tardé MUCHO en decidirme porque me daba mucho miedo tantas reseñas diciendo que el café sabía a plástico. Decidí arriesgarme y menos mal, porque no es para nada verdad. Seguí los pasos que pone en las instrucciones para lavarla antes de hacer el primer café y desde el primerísimo café que sale buenísimo no, lo siguiente. Todos mis invitados me dicen que es una pasada.
Eso sí, le he puesto 4 estrellas porque el espacio para la taza es pequeñísimo. Estuve a punto de devolverla porque no me cabe mi taza del café con leche, pero al final he optado por quitar la base cuando me hago el café. La espumadera para la leche no la he utilizado porque le doy a la leche un golpe de micro y el café ya sale con mucha espuma (si no te gusta el café con espuma no la cojas).
Otro punto un poco malo es que me hubiera gustado que fuera un pelín más robusta, cuesta quitar el brazo del café porque te llevas contigo toda la máquina.
Lo que adoro es que el depósito de agua es muy grande y no has de estar constantemente rellenándolo. Para el café vienen dos medidas, la pequeña nunca la he utilizado. Para mi café con leche de la mañana utilizo el tamaño grande con dos salidas. Alguna tarde que he tenido invitados he hecho dos cafés con leche a la vez con esa medida grande, pero quedan flojos. Si eres muy de café, necesitarás siempre la doble para un solo café.
En resumen, con un buen café; la calidad del café es de 10, la máquina preciosa. Lo malo: pesa poquísimo y por lo tanto cuesta quitar el brazo del café y sobretodo, que no cabe la taza :(.
Aún y así, la recomiendo mucho.",Cliente Amazon,Revisado en España el 4 de junio de 2023,tardé decidirme daba miedo tantas reseñas diciendo sabía plástico decidí arriesgarme menos mal verdad seguí pasos pone instrucciones lavarla hacer primer primerísimo sale buenísimo siguiente invitados dicen pasada puesto estrellas espacio taza pequeñísimo punto devolverla cabe taza final optado quitar base hago espumadera utilizado doy golpe micro sale mucha espuma gusta espuma cojas punto malo gustado pelín robusta cuesta quitar brazo llevas contigo toda adoro depósito grande constantemente rellenándolo vienen medidas pequeña nunca utilizado mañana utilizo tamaño grande salidas alguna tarde invitados hecho cafés vez medida grande quedan flojos necesitarás siempre doble solo resumen buen calidad preciosa malo pesa poquísimo cuesta quitar brazo sobretodo cabe taza aún así recomiendo
A los 3 meses se ha roto,"1,0 de 5 estrellas",Roto a los 3 meses el calentador,Veravera8,Revisado en España el 26 de abril de 2023,roto calentador
Muy buena compra,"5,0 de 5 estrellas","Era una regalo para mi pareja, y le ha encantado muy buena calidad, nos costó cogerle el truco pero después de un par de usos todo perfecto, el sabor de café en nuestro caso fue muy bueno desde el minuto uno, lo único malo que tarda mucho en calentarse pero por lo demás todo bien",Laura,Revisado en España el 16 de abril de 2023,regalo pareja encantado calidad costó cogerle truco después par usos perfecto sabor caso bueno minuto único malo tarda calentarse demás
"Gran diseño, café regular","3,0 de 5 estrellas","El diseño de la cafetera es muy retro, tal y como esperaba. Hace cafés más o menos correctos, pero si quieres un café largo el sabor es muy malo, con gusto a metal. Pensábamos que sería al principio de su uso hasta que pasaran unos días, pero llevamos ya más de dos semanas y sigue saliendo con este sabor.",Yemima,Revisado en España el 14 de abril de 2023,diseño retro tal esperaba cafés menos correctos quieres largo sabor malo gusto metal pensábamos principio uso pasaran días llevamos semanas sigue saliendo sabor
Buena cafetera pésimas instrucciones,"4,0 de 5 estrellas","Llegó con el depósito del agua roto, me puse en contacto con el vendedor y me enviaron otro deposito.
La quiero para usar con capsulas ESE y me ha gustado mucho y la maquina es muy bonita, lo malo como suele ser habitual las instrucciones son un desastre, según el croquis el deposito del agua está en la rueda de control del vapor y así un montón de detalles, pone como purgar el circuito del agua, pero muy mal explicado porque solo habla del vapor y pone que se inyecte una vez con el útil que viene y si es necesario repetir hasta que salga agua por el conducto del vapor y así fue, pero por el de salida para el café ni gota y al cabo de 2 minutos me asusté y la paré, seguí inyectado mas agua mientras la bomba funcionaba en seco hasta que le llegó por fin el agua y se puso a fluir después de numerosas inyecciones de agua hasta que se llenara el depósito interno donde debe estar la resistencia sumergida en tal deposito interno. ¿tan difícil es explicar de alguna forma esto? en lugar de hablar solo del vapor que enseguida empezó a salir, pero no el lado del café por lo que estuve a punto de devolverla.",Pedro Maria Alonso Villaro,Revisado en España el 31 de marzo de 2023,llegó depósito roto puse contacto vendedor enviaron deposito quiero usar capsulas gustado maquina bonita malo suele ser habitual instrucciones desastre según croquis deposito rueda control vapor así montón detalles pone purgar circuito mal explicado solo habla vapor pone inyecte vez útil viene necesario repetir salga conducto vapor así salida gota cabo minutos asusté paré seguí inyectado ma mientras bomba funcionaba seco llegó fin puso fluir después numerosas inyecciones llenara depósito interno debe resistencia sumergida tal deposito interno difícil explicar alguna forma lugar hablar solo vapor enseguida empezó salir lado punto devolverla
Poco fiable,"1,0 de 5 estrellas",La cafetera ha dejado de funcionar correctamente tras 14 meses con muy poco uso. El led verde ya no se enciende y pierde presión por la salida del agua a la cazoleta.,David,Revisado en España el 21 de marzo de 2023,dejado funcionar correctamente tras uso led verde enciende pierde presión salida cazoleta
"Además de bonita, hace un café genial!!!","5,0 de 5 estrellas","Fácil de usar, práctica para limpiar y un diseño muy bonito",Rosa,Revisado en España el 15 de marzo de 2023,fácil usar práctica limpiar diseño bonito
Ok,"5,0 de 5 estrellas","Calienta muy rápido, echa buen café y hace mucha espuma la espumadera. Un 8 sobre 10",Cliente Amazon,Revisado en España el 12 de marzo de 2023,calienta rápido echa buen mucha espuma espumadera
BUEN CAFÉ,"5,0 de 5 estrellas","Primer café que tomo y muy bueno. Lo importante es el café, por supuesto pero no puede pasar desapercibida lo bonita que es 😊",Yolanda.C,Revisado en España el 11 de marzo de 2023,primer tomo bueno importante supuesto puede pasar desapercibida bonita
BUENA RELACION CALIDAD PRECIO,"4,0 de 5 estrellas","Hace muy bien el café, comprando un buen producto y moliendolo correctamente. Es muy decorativa además y de tamaño ideal. Pongo 4 estrellas en el uso, porque viene con un defecto en el botón de hacer el café y apagar, se queda trabado al presionar y hay que apretar dos veces. Espero que me lo resuelvan. Por lo demás y dando por hecho la solución al problema, vendedor y cafetera muy recomendable, 8 o 10 cafés al dia, se lo dice quien la conoce y usa por años y ha sido vendedor profesional de café y cafeteras industriales mas de 20 años.",peluso,Revisado en España el 4 de marzo de 2023,comprando buen producto moliendolo correctamente decorativa además tamaño ideal pongo estrellas uso viene defecto botón hacer apagar queda trabado presionar apretar veces espero resuelvan demás dando hecho solución problema vendedor recomendable cafés dia dice conoce usa años sido vendedor profesional cafeteras industriales ma años
Sabe a plástico,"1,0 de 5 estrellas","Tras hacerle varias limpiezas tal y como indica el manual, sigue teniendo un fuerte saber a plástico el café, incluso huele a plástico",LORENZO C.,Revisado en España el 25 de febrero de 2023,tras hacerle varias limpiezas tal indica manual sigue fuerte saber plástico incluso huele plástico
Bien,"4,0 de 5 estrellas","El café muy bueno, lo de calentar la leche regular",MJ,Revisado en España el 21 de febrero de 2023,bueno calentar regular
Devolución por no funcionamiento,"1,0 de 5 estrellas","Tuve que devolverlo por que no conseguí que funcionase.
La devolución sin problema y rápida.",Mercedes Andreu,Revisado en España el 16 de febrero de 2023,devolverlo conseguí funcionase devolución problema rápida
Hace un cafe de cafeteria,"5,0 de 5 estrellas","Me encanta tanto el diseño que es mut original como el cafe que hace. Hace una crema buenisima, supongo tambien que has de utilitzar un buen cafe",Susana,Revisado en España el 13 de febrero de 2023,encanta diseño mut original crema buenisima supongo tambien utilitzar buen
muito bom,"5,0 de 5 estrellas",Tal como descrito.,Carla,Revisado en España el 13 de febrero de 2023,tal descrito
Hace Cafes muy bien pero los interruptores se estropean a los 4 meses de un uso medi,"1,0 de 5 estrellas",Una lastima. Iba muy bien hasta que después de 4 meses empezaron a fallar los interruptores haciendo uno o dos cafés al día. Por lo que veo después de desmontarlos se han quemado.,Yo_Mismo,Revisado en España el 9 de febrero de 2023,lastima iba después empezaron fallar interruptores haciendo cafés día veo después desmontarlos quemado
Cafetera,"5,0 de 5 estrellas",Fue para un regalo y está encantada y muy contenta,Rayo de sol,Revisado en España el 8 de febrero de 2023,regalo encantada contenta
No vale la pena,"2,0 de 5 estrellas","A los pocos meses el botón de encendido ya no funcionaba y ahora a los dos años de uso (1-2 cafés al día) el motor se ha quemado, asi que aunque el diseño es precioso no la recomendaría",Neus,Revisado en España el 23 de enero de 2023,pocos botón encendido funcionaba ahora años uso cafés día motor quemado asi aunque diseño precioso recomendaría
Muy básica pero muy bonita,"5,0 de 5 estrellas",Básica y fácil de usar . Muy simple,Silvina Marcela Mendez,Revisado en España el 21 de enero de 2023,básica fácil usar simple
Es preciosa,"5,0 de 5 estrellas",El café riquísimo y hace una espuma increíble,Maria,Revisado en España el 21 de enero de 2023,riquísimo espuma increíble
Sale muy bien el café,"5,0 de 5 estrellas",Muy fácil de usar y limpiar sale buen café,Isabel zapater muñoz,Revisado en España el 16 de enero de 2023,fácil usar limpiar sale buen
Calienta rápido,"5,0 de 5 estrellas","Me ha gustado el diseño y los 2 modos de hacer café. Loque no me ha gustado, las patas no son tipo ventosa.",Pablo Valero Trives,Revisado en España el 15 de enero de 2023,gustado diseño modos hacer loque gustado patas tipo ventosa
GRAN MÁQUINA DE CAFÉ EN SU RANGO DE PRECIO,"4,0 de 5 estrellas","Muy contento con la compra, café rico y sin tener un precio desorbitado",Cliente Amazon,Revisado en España el 15 de enero de 2023,contento compra rico tener precio desorbitado
