title,rating,body,author,date
Muy bien,"5,0 de 5 estrellas","Lo usamos para hacer los biberones rápidamente. Calentamos el agua mineral a 45 grados, la echamos al biberón y añadimos la leche. En 5 minutos esta listo.",Laura,Revisado en España el 14 de mayo de 2024
Hervidor rápido y compacto 100% recomendable,"5,0 de 5 estrellas","Play Video
Hervidor compacto rápido muy cómodo 100% recomendable, la única advertencia es no llenarlo hasta arriba ya que al poner la temperatura a 100° sale burbujeando al hervir y puedes sufrir alguna quemadura.",León,Revisado en España el 4 de abril de 2024
Grande utilidade,"4,0 de 5 estrellas",Gostei de tudo,Eugénia Lee,Revisado en España el 12 de marzo de 2024
One of the best things I’ve bought on Amazon!,"4,0 de 5 estrellas","I was a bit concerned because some of the reviews weren’t positive. But this was actually one of the best things I’ve bought on Amazon. I take with me every time I travel. It boils the water, it’s easy to use, it’s light. The materials seems to be of good quality. Very very happy with this product!",Cátia S.,Revisado en España el 12 de marzo de 2024
Estupendo,"5,0 de 5 estrellas","Lo utilizo varias veces al día para calentar el agua para preparar biberones. Calienta el agua muy rápido y a la temperatura adecuada, también lo usamos para infusiones y té. De las mejores compras!",Estíbaliz,Revisado en España el 7 de marzo de 2024
Muy util,"5,0 de 5 estrellas",Mi esposo lo utiliza mucho para preparar su café,Jorge luis hernandez sosa,Revisado en España el 3 de marzo de 2024
Usado y en mal estado,"1,0 de 5 estrellas",,"El hervidor ha llegado con marcas de uso, el interior sucio y con hongos.",Revisado en España el 25 de febrero de 2024
No funciona sin estar enchufado a la corriente,"2,0 de 5 estrellas","Mi idea era llevar el termo de viaje, y calentar el agua inalambricamente. Solo calienta el agua enchufado a la corriente. Sin estar enchufado hace función de termo convencional.",Carlota,Revisado en España el 22 de febrero de 2024
Poca capacidad,"4,0 de 5 estrellas",Es un producto bueno pero tiene poca capacidad de líquido. Como punto positivo decir que viene con una bolsa de transporte muy útil para meterlo en la maleta al viajar.,Fernando,Revisado en España el 10 de enero de 2024
Muy guay,"5,0 de 5 estrellas","Se limpia mal el café,",Fernando,Revisado en España el 27 de diciembre de 2023
Bonito diseño,"3,0 de 5 estrellas",Me gusta por el tamaño pequeño y práctico pero al ser de 300W tarda mucho en llegar a 100 grados. No sé si será normal o no pero para calentar agua del tiempo a 100 grados a tarda 9 minutos.,Marcos F.,Revisado en España el 23 de diciembre de 2023
La mejor compra,"5,0 de 5 estrellas",Me la lleve para las vacaiones.ya que me gusta despertarme con un cafe en el hotel.funciona de maravilla.sin dura comprare otra..la recomiendo,Yes.,Revisado en España el 9 de diciembre de 2023
Muy practico para viajes,"5,0 de 5 estrellas",Excelente termo hervidor de agua. Lo uso para mis viajes. Ya no dependo de la buena voluntad de que me calienten bien el agua o no me rompan la tapa del termo. Su capacidad es como para una taza grande. Como hierve el agua bastante rápido la puedes volver a utilizar rápidamente. Otra cosa buena es que la temperatura para calentar el agua es regulable.,Marco,Revisado en España el 28 de noviembre de 2023
Perfecto,"5,0 de 5 estrellas","Es perfecta. Hierve super rápido el agua, aguanta un montón de tiempo caliente pero la botella no quema.
La recomiendo 100%",Paupau,Revisado en España el 13 de octubre de 2023
Genial para viajar,"5,0 de 5 estrellas",Estuve unos días de vacaciones y me gusta tomar un té a la noche. En la habitación no tenían hervidor y los desayunos eran bastante caros así que me ha ido genial. Funciona muy fácil y te mantiene la temperatura si te lo tomas en 2veces. Quizás lo peor es el peso con el cable pero tampoco es mucho. Lo recomiendo.,Bárbara,Revisado en España el 25 de septiembre de 2023
No sirve para calentar leche,"4,0 de 5 estrellas",En el primer uso he calentado leche a 45 grados y se ha quedado una capa pegada al fondo del recipiente. En las fotos aparecen tanto leche en polvo como café pero no sirve para ninguna de esas dos cosas ya que se adhiere. Sólo sirve para agua. Las fotos pueden confundir.,@elhuertodelavecina,Revisado en España el 31 de agosto de 2023
Buena calidad,"5,0 de 5 estrellas",Buena calidad,Javier,Revisado en España el 26 de agosto de 2023
Cumple su función,"5,0 de 5 estrellas","Es rápido en hervir. Capacidad suficiente para una buena taza, para dos sería algo excaso.
La pega es que es algo pesado.",Cliente de Kindle,Revisado en España el 25 de junio de 2023
Muy útil,"5,0 de 5 estrellas","La calidad es muy buena , calienta muy pronto y tiene sonido q te alerta cuando puedes abrirlo ,he usado todas las temperaturas para las infusiones y va estupendo , pesa un poquito pero vale l pena para llevarlo , lleva justo un vaso de líquido , cumple con lo esperado",SHA,Revisado en España el 30 de mayo de 2023
Bleibe nicht warm,"1,0 de 5 estrellas",kann nicht mehr wärm haltend,Guo Qin,Revisado en Alemania el 22 de julio de 2024
Seems great,"5,0 de 5 estrellas","I used it only once till now, worked well. It looks great and beautiful design.",Viktoria,Revisado en Alemania el 21 de julio de 2024
Utile per temperature esatte,"4,0 de 5 estrellas","Molto utile se vi serve bollire l’acqua a determinate temperature, bastano pochi minuti. Unica pecca il formato 300 ml, ma comunque prodotto molto utile lo sto usando già da un po’.",Stella,Revisado en Italia el 20 de julio de 2024
Super für Unterwegs,"3,0 de 5 estrellas",Haben den Wasserkocher für unseren Urlaub gekauft sehr praktisch da er klein ist und nicht viel Platz wegnimmt. Jedoch lässt sich bei unserem die 4. Stufe mit 100grad nicht einstellen- nicht so tragisch da wir diese Stufe nicht benötigen aber deswegen nur 3 Sterne,Jasmin Titz,Revisado en Alemania el 17 de julio de 2024
Hält warm,"5,0 de 5 estrellas",Meine Frau ist zufrieden,Thomas,Revisado en Alemania el 12 de julio de 2024
Non utile,"1,0 de 5 estrellas","Purtroppo cercavo un prodotto che potesse.essere.da.trasporto.
Ma è funzionante solo con filo",Valeria,Revisado en Italia el 8 de julio de 2024
Leicht und handlich,"5,0 de 5 estrellas",Super praktisch auf der Reise. Schnell im Handgepäck verstaut. Super leicht,Michaela,Revisado en Alemania el 7 de julio de 2024
Super zum mitnehmen,"5,0 de 5 estrellas",Hatten uns den Wasserkocher fürs Reisen gekauft um gekauftes Wasser zu erhitzen und Brei anzurühren. Super easy super schnell. Absolut empfehlenswert,Jana,Revisado en Alemania el 6 de julio de 2024
Bollitore da viaggio 500ml,"4,0 de 5 estrellas","Usato una settimana,Fa il suo lavoro anche se fatico a capire come selezionare la temperatura... forse sono dura io",Maria R.,Revisado en Italia el 29 de junio de 2024
"jusqu à 55° qui marche , pas au delà !!!!!!!!!!!","1,0 de 5 estrellas","le 100° ne marche pas , tous les voyant s'allume en même temps et puis rien se passe ! j'utilise que 55° (qui marche) pour mes tisanes ! j'attendais vraiment pas à ça !!!!!!!!!Je n'ai pas le temps d'aller à la poste et faire la queue pour le renvois !",schott christine,Revisado en Francia el 28 de junio de 2024
👍,"5,0 de 5 estrellas","Super toll,mega.",Sylvia Luner,Revisado en Alemania el 26 de junio de 2024
Sehr gut,"5,0 de 5 estrellas",Sehr gut,Atef,Revisado en Alemania el 22 de junio de 2024
Mon meilleur investissement post accouchement,"5,0 de 5 estrellas","Absolument PARFAIT!
Utilisé pour chauffer l'eau des Biberons la nuit et pendant les sorties. Je l'utilise donc à 45°, ça chauffe vite et bien. Le maintien de chaleur n'est pas terrible MAIS en laissant branché toute la nuit l'eau reste à la bonne température.
Bémol : la longueur du câble bien trop court.",Natacha D,Revisado en Francia el 21 de junio de 2024
Sehr gut für Unterwegs,"4,0 de 5 estrellas",Habe mir diesen Wasserkocher vor 1 1/2 Jahren gekauft und regelmäßig im Lkw im Einsatz. Und muss sagen ist ein sehr Wichtiger Begleiter geworden und würde ihn immer wieder kaufen. Preis Leistung ist Top 👍🏻. 1 Stern abzug das leider keine 2 Tassen rauskommen.,Alexander S.,Revisado en Alemania el 17 de junio de 2024
very good quality of the product,"5,0 de 5 estrellas","At first I had doubts about the quality, when I used it for the first time I was afraid that it might explode due to the closed lid, but it is the best helper when traveling, hotels do not always have an electric kettle and this little helper is always at hand, so I can enjoy hot drinks or freeze-dried food without problems, very good quality of the product",Roman,Revisado en Alemania el 17 de junio de 2024
Touch rotto,"1,0 de 5 estrellas",Dopo 1 mese e mezzo di utilizzo il touch non va più,Luca Smoquina,Revisado en Italia el 15 de junio de 2024
"perde acqua dal tappo, sto valutando se fare reso","1,0 de 5 estrellas","perde acqua dal tappo, sto valutando se fare reso",Luca B.,Revisado en Italia el 14 de junio de 2024
Sehr gut,"5,0 de 5 estrellas","Zurzeit ist es noch gut. Boiling, Warm alle sind gut. Für Ausflüge, Flughafen ist sehr useful",YN Wang,Revisado en Alemania el 9 de junio de 2024
Difficile à nettoyer,"3,0 de 5 estrellas","Principalement utilisé pour chauffer le lait maternel. Le fond n'est pas assez accessible pour un nettoyage convenable ce qui a développé des champignons après ne pas s'en être servi un temps, dommage !
L'utilisation pour une autre boisson est utile à condition d'avoir un adaptateur voiture si vous prévoyez de voyager/camping",Client Kindle,Revisado en Francia el 9 de junio de 2024
Pratique et efficace,"5,0 de 5 estrellas","Juste ce qu’il faut pour faire un thé bien chaud… l’eau est chaude en 3/4 minutes et l’on ne se brûle pas en manipulant la bouilloire qui semble de bonne qualité . Juste une petite remarque sur l’économie faite sur la longueur du câble vraiment court,mais qui se détache, pour le service. Dommage pour le prix.",pigeon catherine,Revisado en Francia el 8 de junio de 2024
"Super Teil, leicht und einfach in der Bedienung","5,0 de 5 estrellas",für unterwegs sehr zufrieden kann ich nur empfehlen und auch für Babynahrung zum zubereiten auch wenn da 45 grad stehen sind es wohl eher die 39 was perfekt dafür ist. Mein Kaffee mit 100grad war immer richtig heiß. Danach einfach als Thermoskanne fürs Baby verwenden zum Beispiel.,Amazon Kunde,Revisado en Alemania el 8 de junio de 2024
Good,"4,0 de 5 estrellas",Very practical but a bit slow.,Aleksandra,Revisado en Alemania el 5 de junio de 2024
Vorsicht,"1,0 de 5 estrellas","Die ersten paar Tage war sie ziemlich gut, aber danach kochte dass Wasser immer auf 100° obwohl es niedriger eingestellt war.",Martina Sailer,Revisado en Alemania el 2 de junio de 2024
bouilloire,"5,0 de 5 estrellas",très pratique,ROBERTO NARDI,Reseñado en Bélgica el 29 de mayo de 2024
Toll,"5,0 de 5 estrellas","Der Wasserkocher tut sein Job super, klar..dauert bisschen länger wie normaler Waserkocher,aber mich stört es nicht. Ideal für unterwegs, kann ich nur empfehlen",Detlef H.,Revisado en Alemania el 28 de mayo de 2024
Sehr gut,"5,0 de 5 estrellas","Nur schade dass er nicht blinkt oder ausgeht, wenn das Wasser bei 100 grad ist",Lea,Revisado en Alemania el 21 de mayo de 2024
La déception.,"1,0 de 5 estrellas",Livré sans le bouchon. L'appareil est inutisable.,ravet,Revisado en Francia el 17 de mayo de 2024
Super comodo,"5,0 de 5 estrellas","Ovunque andrò con bimba senza preoccupazioni anche comodo portare in zaino o borsone..

Solo difetto presa forma rotonda non è comodo e ho dovuto portare anche doppio preso forma linea e avviso luce quando finisce cottura e ho dovuto ogni volta controllo se è finito o no",Romina,Revisado en Italia el 11 de mayo de 2024
Ottimo,"5,0 de 5 estrellas",Perfetto tutto come da descrizione,alessandro barone,Revisado en Italia el 10 de mayo de 2024
Comodo,"5,0 de 5 estrellas",Lo uso tantissimo e se mi dimentico subito di togliere l’acqua calda me la mantiene per tutto il tempo.,Nadia,Revisado en Italia el 6 de mayo de 2024
Chauffe très rapidement,"5,0 de 5 estrellas",Idéal pour une ou deux tasses.,Client d'Amazon,Revisado en Francia el 4 de mayo de 2024
Très pratique,"5,0 de 5 estrellas","Petite bouilloire très pratique et mignonne, ne prend pas de place dans la cuisine, plusieurs températures facile à manipuler .",Gêne Viéve,Revisado en Francia el 2 de mayo de 2024
Ottimo prodotto,"5,0 de 5 estrellas","Ho acquistato questo bollitore per bollire l'acqua per la preparazione del latte in formula per la mia bambina. È davvero un valido aiuto! L' unica pecca è la presa con attacco schuko, avrei preferito quella USB. Buono anche il prezzo.",Mauro e Ilaria,Revisado en Italia el 27 de abril de 2024
Praktischer Campingbegleiter,"5,0 de 5 estrellas","Bei zwei Wochen Dachzelturlaub in Schottland hat man nicht immer Lust morgens den Kocher auszupacken und im Regen Kaffee oder Tee zu kochen. Als Backup wurde der Wasserkocher angeschafft. Dauer bis das Wasser heiß ist, ist ok. Nicht turboschnell, dafür zuverlässig auch auf die gewünschte Temperatur. Das Wasser hält auch recht gut warm im Behälter. Einziges Manko- mir ist das Kabel etwas zu kurz, aber das ist natürlich Ansichtssache… Würde ich wieder kaufen.",KK,Revisado en Alemania el 21 de abril de 2024
Pratico e leggero,"5,0 de 5 estrellas","Funziona benissimo, lo porti dove vuoi",stefano,Revisado en Italia el 20 de abril de 2024
Weird moving piece,"2,0 de 5 estrellas","The first 2 times, heating took a really long time (15min). Also, whenever I moved it, something was moving inside, like a small marble...",Ade,Revisado en Alemania el 20 de abril de 2024
