title,rating,body,author,date,TextBlob_sentiment,Pysentimiento_sentiment,BERT_sentiment
Recomendada!,"5,0 de 5 estrellas",Justo lo esperado. Muy buena máquina de café. Servicio de entrega “top”,Cliente Amazon,Revisado en España el 8 de agosto de 2024,POS,POS,POS
Buen producto,"4,0 de 5 estrellas","Función bastante bien con la salvedad del depósito para el café molido, que a veces no va bien y sale solo agua, perdiéndose el café",Jmgutierrez,Revisado en España el 4 de agosto de 2024,NEU,NEG,NEU
"Muy bien la cafetera, pero la caja vino rota, aunque la cafetera estaba en execelente condiciones","4,0 de 5 estrellas","Muy buena cafetera, es semiautomatica, y como promete, solo debes colocar el cafe en grano y agua, ella de encarga del resto, las configuraciones iniciales son algo mas engorrosas de lo normal pero considero adecuado para esta cafetera por el tipo, en bastante customizable, lo cual ayuda cuando son varios en la familia que toman cafe, y el filtro de aguas que se ajusta a la dureza del agua de tu zona tambien se agradece mucho, de resto mi unico punto negativo fue la caja del envio, y que considero malgasta el cafe en grano o me dura menos!!, no se por que el cafe en muy rico y tiende a tomar mas!!! jajaja",Alfredo López,Revisado en España el 24 de julio de 2024,POS,NEU,NEU
la atencion y ayuda a personas mayores como yo,"4,0 de 5 estrellas",que bais demasiado deprisa para personas mayores y nos es muy dificil con la nueba tecnolojia,olga EMPEZAR CON LA COMPRE DE EYER HABER SI EL BANCO ME LO HA SOLUZUINADO LA CAFETERA CON MOLINILLO,Revisado en España el 18 de julio de 2024,NEU,NEG,NEG
Café de mala calidad,"1,0 de 5 estrellas",Se desperdicia mucho,Juanjo Guil,Revisado en España el 26 de junio de 2024,NEU,NEG,NEG
Defectuoso no funciona,"1,0 de 5 estrellas","Esta cafetera tiene problemas y no detecta el filtro de agua, aún así me la vendieron por 500 euros, no comprando esta chatarra!",KIRYL,Revisado en España el 24 de junio de 2024,NEU,NEG,NEG
No está mal,"3,0 de 5 estrellas","Pues hace lo mismo que cualquier otra super automática mucho más barata, el café pues solo notas de diferencia en grano que pongas, así que las opciones es una, con más agua o menos agua, el depósito del café no está bien organizado y se queda café en las esquinas o entre el selector y la pared del depósito, consume mucha agua, así que los casi 2 litros se van en nada, ya que limpia a cada poco y hay que estar vaciando el depósito de agua, si lo se me compro la KRUPS",FNUNMAR,Revisado en España el 8 de junio de 2024,POS,NEG,NEG
No enciende y he estado tratando de ver si me pueden ayudar a que encienda,"1,0 de 5 estrellas",Pues no lo he podido usar ya que no me enciende pero he buscado en Internet y no veo solución a que no enciende,José Guadalupe Valenzuela,Revisado en España el 27 de mayo de 2024,NEU,NEG,NEG
Pieza rota,"4,0 de 5 estrellas","La máquina está muy bien, pero ha llegado con una pieza rota. Cómo puedo reclamar para que me envíen otra igual?
Gracias.",Cliente Amazon,Revisado en España el 21 de mayo de 2024,NEU,NEG,NEU
Cafe,"5,0 de 5 estrellas","Todo muy rápido y la cafetera un cafe espectacular, por poner un pero cuando se enciende la cafetera tira agua .",cristina,Revisado en España el 7 de mayo de 2024,NEU,POS,POS
